protocol,held_source,method,seed,temperature,ece,brier,nll,conformal_coverage,mean_set_size,empty_sets,multi_label_sets,accepted_coverage,accepted_errors,selective_risk,referred_n,normal_coverage,pneumonia_coverage,tuberculosis_coverage
internal,internal_test,ERM,20260816,1.1322508921070455,0.007930003797733181,0.01536038974929171,0.02746403317916239,0.9089635854341737,0.9096638655462185,129,0,0.7317927170868347,0,0.0,383,0.8905325443786982,0.9182242990654206,0.9123867069486404
internal,internal_test,ERM,20260817,1.3252629139863843,0.007909895607131418,0.015250332401835454,0.027111408675466936,0.9054621848739496,0.9061624649859944,134,0,0.7198879551820728,0,0.0,400,0.8875739644970414,0.9065420560747663,0.9138972809667674
internal,internal_test,ERM,20260818,1.7518725322371174,0.004022242658197175,0.013239008763455662,0.02461215809762799,0.9068627450980392,0.9068627450980392,133,0,0.7240896358543417,0,0.0,394,0.8875739644970414,0.9088785046728972,0.9154078549848943
internal,internal_test,SourceBalanced,20260816,1.356828191557328,0.005100039247342955,0.014266347882189804,0.02623794534450954,0.9131652661064426,0.9138655462184874,123,0,0.7275910364145658,0,0.0,389,0.893491124260355,0.9158878504672897,0.9214501510574018
internal,internal_test,SourceBalanced,20260817,1.2597398769781487,0.006440110846431628,0.015806082117620555,0.02920930108044004,0.9054621848739496,0.9061624649859944,134,0,0.719187675070028,0,0.0,401,0.893491124260355,0.9135514018691588,0.9063444108761329
internal,internal_test,SourceBalanced,20260818,1.4441884005191117,0.005062010284039796,0.014962025878127123,0.027812574436023252,0.9124649859943977,0.9131652661064426,124,0,0.7226890756302521,0,0.0,396,0.8994082840236687,0.9088785046728972,0.9214501510574018
internal,internal_test,GroupDRO,20260816,1.4652803812357897,0.004633877576935215,0.01324751205094083,0.023951993875254582,0.9117647058823529,0.9117647058823529,126,0,0.7289915966386554,0,0.0,387,0.9023668639053254,0.9135514018691588,0.9154078549848943
internal,internal_test,GroupDRO,20260817,1.5160607145724603,0.005277214513623509,0.013413523002133913,0.024651578259840094,0.9033613445378151,0.9033613445378151,138,0,0.7240896358543417,0,0.0,394,0.893491124260355,0.9065420560747663,0.9063444108761329
internal,internal_test,GroupDRO,20260818,1.5898517406329276,0.003609683645525183,0.013936084925866798,0.025740520543082304,0.907563025210084,0.9082633053221288,131,0,0.7275910364145658,0,0.0,389,0.8964497041420119,0.9065420560747663,0.9138972809667674
internal,internal_test,CORAL,20260816,0.8021456981756627,0.0038869559840200075,0.010101586883352977,0.02065539633761606,0.9110644257703081,0.9117647058823529,126,0,0.7135854341736695,0,0.0,409,0.8727810650887574,0.9112149532710281,0.9305135951661632
internal,internal_test,CORAL,20260817,0.8305055452703879,0.004240275899408164,0.011121341781782887,0.022734590126157965,0.9229691876750701,0.9236694677871149,109,0,0.7429971988795518,0,0.0,367,0.8875739644970414,0.9205607476635514,0.9425981873111783
internal,internal_test,CORAL,20260818,0.8297119034110597,0.005265954614630768,0.009918315911971272,0.021791459429713837,0.9236694677871149,0.9243697478991597,108,0,0.7296918767507002,0,0.0,386,0.8994082840236687,0.9252336448598131,0.9350453172205438
provenance_held_out,latent_L1,ERM,20260816,0.8140792118914139,0.048438895406962584,0.14147403321148383,0.31402411058389096,0.7828730681530276,0.7945274892323283,1622,0,0.49442614644033445,28,0.007173968741993386,3991,0.6935598018400566,0.8567134268537074,0.7434944237918215
provenance_held_out,latent_L1,ERM,20260817,0.7542239219447568,0.04327763062702944,0.1295564628697025,0.26689242591616824,0.7938940967823663,0.8047884469217127,1541,0,0.5444641499873322,21,0.004885993485342022,3596,0.6903750884642604,0.8782565130260521,0.7527881040892194
provenance_held_out,latent_L1,ERM,20260818,0.7642802576361242,0.046982547724037316,0.13479592924129175,0.28912864942338456,0.7799594628832024,0.7917405624524956,1644,0,0.5418039016974918,21,0.004909983633387904,3617,0.7034677990092003,0.8401803607214429,0.7574349442379182
provenance_held_out,latent_L1,SourceBalanced,20260816,0.9920425947330209,0.03593626609911814,0.10611341563408232,0.2249646228995732,0.7575373701545478,0.7675449708639474,1835,0,0.6090701798834558,19,0.0039517470881863526,3086,0.6411889596602972,0.8444388777555111,0.7407063197026023
provenance_held_out,latent_L1,SourceBalanced,20260817,1.0687807780876195,0.03200233516449945,0.10141381658195413,0.20429179168640307,0.7743856093235368,0.782366354193058,1718,0,0.6118571066632885,11,0.002277432712215366,3064,0.6638358103326256,0.8524549098196392,0.775092936802974
provenance_held_out,latent_L1,SourceBalanced,20260818,0.9828307639346281,0.03017256941438018,0.09731858543826756,0.19428758337359137,0.7759057512034456,0.7843932100329364,1702,0,0.6265518115024069,8,0.0016174686615446632,2948,0.6748053786270347,0.8514529058116233,0.7611524163568774
provenance_held_out,latent_L1,GroupDRO,20260816,0.8140792118914139,0.048438895406962584,0.14147403321148383,0.31402411058389096,0.7828730681530276,0.7945274892323283,1622,0,0.49442614644033445,28,0.007173968741993386,3991,0.6935598018400566,0.8567134268537074,0.7434944237918215
