replicate,internal,provenance_held_out,heldout_minus_internal
0,0.9911966549841428,0.8978093017435868,-0.09338735324055603
1,0.9970162302157415,0.9002032938246035,-0.09681293639113797
2,0.994782203587235,0.9008176847366309,-0.09396451885060408
3,0.9890485415364791,0.8962534474357667,-0.0927950941007124
4,0.9916239634813216,0.9039194899613223,-0.08770447351999933
5,0.9865777072163825,0.8994727537725365,-0.08710495344384594
6,0.991901413191829,0.9009505701846271,-0.09095084300720191
7,0.99199360004129,0.9055790332183253,-0.08641456682296467
8,0.9907144907144906,0.8996977778426093,-0.09101671287188129
9,0.9933760925470495,0.907435317181504,-0.08594077536554545
10,0.9944546360567976,0.8985454798650926,-0.09590915619170504
11,0.9940148879661841,0.901006858789815,-0.09300802917636908
12,0.9910217894377067,0.9015740494168534,-0.08944774002085332
13,0.992389990317262,0.898839479513816,-0.09355051080344601
14,0.9905896191251916,0.895251557961468,-0.09533806116372356
15,0.991333591740459,0.8992842032542985,-0.09204938848616051
16,0.993253644232106,0.8944114569257923,-0.09884218730631378
17,0.9908819303901755,0.9050759520928212,-0.08580597829735426
18,0.9909977362847209,0.9022038325878379,-0.088793903696883
19,0.9911004640419766,0.9037112683413752,-0.08738919570060144
20,0.9878704403448565,0.9001811346652442,-0.0876893056796123
21,0.994766897035335,0.9002588260155244,-0.09450807101981062
22,0.9918339076075996,0.8981998513768956,-0.09363405623070398
23,0.99252964237904,0.9001783168174837,-0.09235132556155623
24,0.9934949606295556,0.900770968475817,-0.09272399215373861
25,0.9908586178215165,0.9030212620630541,-0.08783735575846241
26,0.9924929085603394,0.8997935924451327,-0.09269931611520676
27,0.9917286613380408,0.8969734941988756,-0.09475516713916521
28,0.9931320752598096,0.9026490261929704,-0.09048304906683924
29,0.9875912267699172,0.9064344508798375,-0.08115677589007964
30,0.9942439686961384,0.896865438310241,-0.09737853038589739
31,0.9875379594146826,0.8998901801500959,-0.08764777926458667
32,0.9968780899373965,0.8996366137584673,-0.0972414761789292
33,0.9948529779283133,0.9009721616785376,-0.09388081624977573
34,0.9895915727014536,0.9011632445519874,-0.08842832814946622
35,0.9889331984893822,0.9000188186004321,-0.08891437988895012
36,0.9888423082208418,0.9015412174491634,-0.08730109077167847
37,0.9904501990404903,0.9016822118057689,-0.08876798723472135
38,0.9896151339534911,0.9025420468743318,-0.08707308707915928
39,0.9911263163092289,0.9006521466823841,-0.09047416962684474
40,0.9906335638490648,0.8960001506234029,-0.09463341322566188
41,0.990266973182142,0.8989855556582625,-0.09128141752387942
42,0.990126198141215,0.9000426755644623,-0.09008352257675278
43,0.9954832531115766,0.8988235391289437,-0.09665971398263284
44,0.9923438213924123,0.8978803500679566,-0.09446347132445565
45,0.9946356877571224,0.8990271240625196,-0.0956085636946028
46,0.9918532047953962,0.902116527950886,-0.08973667684451014
47,0.9901311251581016,0.9015548792917322,-0.08857624586636947
48,0.995517785427424,0.8996536677115508,-0.09586411771587322
49,0.9874268951361088,0.8977288393528079,-0.08969805578330092
50,0.9885231384662263,0.9026446231375479,-0.0858785153286784
51,0.9896433416709517,0.9031026579605895,-0.08654068371036217
52,0.9909720099802861,0.9049252993581316,-0.08604671062215452
53,0.9940411281336218,0.9016776247726886,-0.09236350336093313
54,0.9910223319492761,0.9030372633011553,-0.08798506864812083
55,0.9908819303901755,0.8969059154418154,-0.09397601494836005
56,0.9931525031502119,0.8991754748723729,-0.09397702827783894
57,0.9901112916583011,0.9035172573048427,-0.08659403435345847
58,0.9895168415180199,0.9010028770441542,-0.08851396447386572
59,0.9907567922273804,0.9020106588571465,-0.08874613337023396
60,0.9874546908065831,0.9021206713836549,-0.08533401942292818
61,0.9940033873878581,0.9002707869770236,-0.09373260041083453
62,0.9904877300319118,0.8991869398744171,-0.0913007901574947
63,0.9893630678122395,0.9027826271509282,-0.08658044066131132
64,0.9903971585598056,0.8979344234463165,-0.09246273511348913
65,0.993893561262257,0.898403037360748,-0.09549052390150903
66,0.9900962548090498,0.9010725651760328,-0.08902368963301699
67,0.9944980746853522,0.9022825360273705,-0.09221553865798171
68,0.9908682013967572,0.9011027705121141,-0.08976543088464317
69,0.9941046981334591,0.8984029493030151,-0.09570174883044402
70,0.9916489785384405,0.9027877512875673,-0.0888612272508732
71,0.9865308900464497,0.90155528250463,-0.08497560754181965
72,0.9892248507515288,0.8985855647358845,-0.0906392860156443
73,0.994782203587235,0.8996169967192954,-0.09516520686793961
74,0.9913866111418884,0.9022041086718637,-0.08918250247002468
75,0.9895915727014536,0.9015233178770412,-0.08806825482441238
76,0.9905328684172229,0.9028828867165659,-0.08764998170065696
