protocol,held_source,method,seed,temperature,ece,brier,nll,conformal_coverage,mean_set_size,empty_sets,multi_label_sets,accepted_coverage,accepted_errors,selective_risk,referred_n,normal_coverage,pneumonia_coverage,tuberculosis_coverage
internal,internal_test,CORAL,20260817.0,0.8207877156190367,0.0044643954993529794,0.010380414859035712,0.02172714863116262,0.919234360410831,0.9199346405228758,114.33333333333333,0.0,0.7287581699346406,0.0,0.0,387.3333333333333,0.8865877712031559,0.9190031152647976,0.9360523665659617
internal,internal_test,ERM,20260817.0,1.4031287794435157,0.006620714021020591,0.01461657697152761,0.02639586665075244,0.9070961718020542,0.907563025210084,132.0,0.0,0.7252567693744164,0.0,0.0,392.3333333333333,0.888560157790927,0.9112149532710281,0.9138972809667673
internal,internal_test,GroupDRO,20260817.0,1.5237309454803925,0.004506925245361302,0.013532373326313846,0.024781364226058995,0.907563025210084,0.907796451914099,131.66666666666666,0.0,0.726890756302521,0.0,0.0,390.0,0.8974358974358975,0.9088785046728972,0.9118831822759316
internal,internal_test,SourceBalanced,20260817.0,1.353585489684863,0.005534053459271459,0.01501148529264583,0.027753273620324276,0.9103641456582633,0.9110644257703081,127.0,0.0,0.723155929038282,0.0,0.0,395.3333333333333,0.8954635108481263,0.9127725856697819,0.9164149043303121
provenance_held_out,latent_L1,CORAL,20260817.0,0.7775277971574317,0.04623302458600978,0.1352754751074927,0.29001506197448124,0.7855755426061988,0.7970188328688455,1602.3333333333333,0.0,0.5268980660417194,23.333333333333332,0.005656648620241104,3734.6666666666665,0.6958008964378392,0.8583834335337341,0.7512391573729863
provenance_held_out,latent_L1,ERM,20260817.0,0.7775277971574317,0.04623302458600978,0.1352754751074927,0.29001506197448124,0.7855755426061988,0.7970188328688455,1602.3333333333333,0.0,0.5268980660417194,23.333333333333332,0.005656648620241104,3734.6666666666665,0.6958008964378392,0.8583834335337341,0.7512391573729863
provenance_held_out,latent_L1,GroupDRO,20260817.0,0.7775277971574317,0.04623302458600978,0.1352754751074927,0.29001506197448124,0.7855755426061988,0.7970188328688455,1602.3333333333333,0.0,0.5268980660417194,23.333333333333332,0.005656648620241104,3734.6666666666665,0.6958008964378392,0.8583834335337341,0.7512391573729863
provenance_held_out,latent_L1,SourceBalanced,20260817.0,1.0145513789184228,0.03270372355933259,0.10161527255143467,0.20784799931985587,0.76927624356051,0.7781015116966472,1751.6666666666667,0.0,0.6158263660163837,12.666666666666666,0.0026155494873154606,3032.6666666666665,0.6599433828733191,0.8494488977955911,0.7589838909541512
provenance_held_out,latent_L2,CORAL,20260817.0,1.0316895809587379,0.057798390266931045,0.1895222703021091,0.4049917870699753,0.6971974322843275,0.7212045300349669,1780.6666666666667,0.0,0.36950054798810084,31.0,0.013145377412916326,4027.0,0.750524109014675,0.8959156785243741,0.6818843215714806
provenance_held_out,latent_L2,ERM,20260817.0,1.0316895809587379,0.057798390266931045,0.1895222703021091,0.4049917870699753,0.6971974322843275,0.7212045300349669,1780.6666666666667,0.0,0.36950054798810084,31.0,0.013145377412916326,4027.0,0.750524109014675,0.8959156785243741,0.6818843215714806
provenance_held_out,latent_L2,GroupDRO,20260817.0,1.0316895809587379,0.057798390266931045,0.1895222703021091,0.4049917870699753,0.6971974322843275,0.7212045300349669,1780.6666666666667,0.0,0.36950054798810084,31.0,0.013145377412916326,4027.0,0.750524109014675,0.8959156785243741,0.6818843215714806
provenance_held_out,latent_L2,SourceBalanced,20260817.0,1.1104920712745578,0.05345941789020577,0.16722180270220718,0.36061668050822143,0.7022076092062001,0.7270497364438181,1743.3333333333333,0.0,0.4394864568655081,38.666666666666664,0.01389768565656424,3580.0,0.7625786163522013,0.8814229249011859,0.6869770825754821
