k,silhouette,stability_ari,selection_score
2,0.23867708242729688,0.9995555830502213,0.5430284826764666
3,0.21784837465977303,1.0,0.5307090247958638
4,0.22482700519554094,0.9987809086765612,0.5344085665879491
5,0.22671709750230143,0.9988597426027596,0.5355741555424847
6,0.23141518996300753,0.9970410421121368,0.5376655308226592
7,0.23316379054636582,0.988265733499398,0.5352045677275787
8,0.23611492657773556,0.9934991676376238,0.5390686230016909
