protocol,method,disease_macro_f1,worst_source_f1,seed_sd,input_source_macro_f1
internal,CORAL,0.9932330700569271,0.9877685332193996,0.00019565122405219097,0.8837766234253094
internal,ERM,0.9896510294124877,0.9807350269264891,0.0013756381235123403,0.8837766234253094
internal,GroupDRO,0.9902812740556265,0.9812487440327878,0.0007526376219684662,0.8837766234253094
internal,SourceBalanced,0.9908205214198412,0.9841965206835154,0.0008259574594057356,0.8837766234253094
provenance_held_out,CORAL,0.8421213256434844,0.8421213256434844,0.04228592832408783,0.8837766234253094
provenance_held_out,ERM,0.8421213256434844,0.8421213256434844,0.04228592832408783,0.8837766234253094
provenance_held_out,GroupDRO,0.8421213256434844,0.8421213256434844,0.04228592832408783,0.8837766234253094
provenance_held_out,SourceBalanced,0.8683397395421616,0.8683397395421616,0.04157615604634908,0.8837766234253094
