intervention,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,source_macro_f1
baseline,0.9866946778711485,0.9851236763855867,0.9857695409165997,0.9995612326941105,0.9119134037203633
aspect_pad,0.9880952380952381,0.9861307257310047,0.9874475202019609,0.9992403899296342,0.9154081890559838
border_control,0.9880952380952381,0.9866133943521813,0.9875011505461059,0.9994093800640268,0.9133227892608375
intensity,0.9894957983193278,0.9878278207921077,0.9886231832339356,0.9992878504732938,0.8824175027697532
compression,0.992296918767507,0.9912899253464736,0.9919639184345067,0.9993628303660184,0.9153485155362348
combined,0.9873949579831933,0.9857666637206449,0.9868869683567549,0.9994566024795842,0.8837766234253094
