protocol,held_source,method,seed,n_test,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,worst_source_macro_f1
internal,internal_test,ERM,20260816,1428,0.988795518207283,0.9872563816872395,0.9882376614071627,0.9997474839313688,0.9801282852015136
internal,internal_test,ERM,20260817,1428,0.9901960784313726,0.9887460996538341,0.9897298811063262,0.9997349505206579,0.9801282852015136
internal,internal_test,ERM,20260818,1428,0.9915966386554622,0.9893383948102347,0.9909855457239741,0.9997999926917068,0.9819485103764399
internal,internal_test,SourceBalanced,20260816,1428,0.992296918767507,0.9917725939676503,0.9917725939676503,0.9997517416807917,0.9861032187674995
internal,internal_test,SourceBalanced,20260817,1428,0.9908963585434174,0.9907655446222323,0.9902957601777044,0.9996566027151274,0.9823251823251823
internal,internal_test,SourceBalanced,20260818,1428,0.9908963585434174,0.9904902530955644,0.9903932101141691,0.9996804800475821,0.9841611609578642
internal,internal_test,GroupDRO,20260816,1428,0.9915966386554622,0.9893383948102347,0.9909855457239741,0.9998056300313239,0.9840575044680175
internal,internal_test,GroupDRO,20260817,1428,0.9908963585434174,0.989524915853211,0.9903701194601403,0.9997958198640943,0.9820431820191579
internal,internal_test,GroupDRO,20260818,1428,0.9901960784313726,0.9878486768436402,0.989488156982765,0.9997714282856106,0.9776455456111881
internal,internal_test,CORAL,20260816,1428,0.9936974789915967,0.9930549348397362,0.9930148863482197,0.9998035141542659,0.9880482710605709
internal,internal_test,CORAL,20260817,1428,0.9936974789915967,0.9930549348397362,0.9932914046121594,0.9997650412341121,0.9880482710605709
internal,internal_test,CORAL,20260818,1428,0.9936974789915967,0.9927796433130681,0.9933929192104024,0.9997639886575698,0.987209057537057
provenance_held_out,latent_L1,ERM,20260816,7894,0.9132252343552065,0.9179168902828093,0.8778632002215329,0.9921948694786864,0.8778632002215329
provenance_held_out,latent_L1,ERM,20260817,7894,0.9185457309348872,0.9188564174901956,0.8833469759834602,0.9923432991340535,0.8833469759834602
provenance_held_out,latent_L1,ERM,20260818,7894,0.9157588041550545,0.918642587066369,0.8805203009180748,0.9924597801270324,0.8805203009180748
provenance_held_out,latent_L1,SourceBalanced,20260816,7894,0.9336204712439827,0.9316916281956216,0.9025555182824124,0.99331590334526,0.9025555182824124
provenance_held_out,latent_L1,SourceBalanced,20260817,7894,0.9355206485938687,0.9332988265754172,0.9056357721598735,0.9938204891357937,0.9056357721598735
provenance_held_out,latent_L1,SourceBalanced,20260818,7894,0.9381808968837091,0.9349246987737154,0.9088584201657851,0.9940717528341341,0.9088584201657851
provenance_held_out,latent_L1,GroupDRO,20260816,7894,0.9132252343552065,0.9179168902828093,0.8778632002215329,0.9921948694786864,0.8778632002215329
provenance_held_out,latent_L1,GroupDRO,20260817,7894,0.9185457309348872,0.9188564174901956,0.8833469759834602,0.9923432991340535,0.8833469759834602
provenance_held_out,latent_L1,GroupDRO,20260818,7894,0.9157588041550545,0.918642587066369,0.8805203009180748,0.9924597801270324,0.8805203009180748
provenance_held_out,latent_L1,CORAL,20260816,7894,0.9132252343552065,0.9179168902828093,0.8778632002215329,0.9921948694786864,0.8778632002215329
provenance_held_out,latent_L1,CORAL,20260817,7894,0.9185457309348872,0.9188564174901956,0.8833469759834602,0.9923432991340535,0.8833469759834602
provenance_held_out,latent_L1,CORAL,20260818,7894,0.9157588041550545,0.918642587066369,0.8805203009180748,0.9924597801270324,0.8805203009180748
provenance_held_out,latent_L2,ERM,20260816,6387,0.882887114451229,0.944720691402832,0.8035105011487275,0.986172328932169,0.8035105011487275
provenance_held_out,latent_L2,ERM,20260817,6387,0.8847659307969312,0.9445212668741488,0.8088654444822728,0.98588921073388,0.8088654444822728
provenance_held_out,latent_L2,ERM,20260818,6387,0.881634570220761,0.9451626283602771,0.7986215311068383,0.9875560970089562,0.7986215311068383
provenance_held_out,latent_L2,SourceBalanced,20260816,6387,0.90496320651323,0.9514153308867533,0.8400626956986569,0.9869182962155391,0.8400626956986569
provenance_held_out,latent_L2,SourceBalanced,20260817,6387,0.8997964615625489,0.9489511224419824,0.8346022865895281,0.9862847340500397,0.8346022865895281
provenance_held_out,latent_L2,SourceBalanced,20260818,6387,0.8910286519492719,0.9474098720692531,0.8183237443567135,0.9870832066113803,0.8183237443567135
provenance_held_out,latent_L2,GroupDRO,20260816,6387,0.882887114451229,0.944720691402832,0.8035105011487275,0.986172328932169,0.8035105011487275
provenance_held_out,latent_L2,GroupDRO,20260817,6387,0.8847659307969312,0.9445212668741488,0.8088654444822728,0.98588921073388,0.8088654444822728
provenance_held_out,latent_L2,GroupDRO,20260818,6387,0.881634570220761,0.9451626283602771,0.7986215311068383,0.9875560970089562,0.7986215311068383
provenance_held_out,latent_L2,CORAL,20260816,6387,0.882887114451229,0.944720691402832,0.8035105011487275,0.986172328932169,0.8035105011487275
provenance_held_out,latent_L2,CORAL,20260817,6387,0.8847659307969312,0.9445212668741488,0.8088654444822728,0.98588921073388,0.8088654444822728
provenance_held_out,latent_L2,CORAL,20260818,6387,0.881634570220761,0.9451626283602771,0.7986215311068383,0.9875560970089562,0.7986215311068383
