representation,source_macro_f1
native_metadata,0.9985877354515983
baseline,0.9119134037203633
aspect_pad,0.9154081890559838
border_control,0.9133227892608375
intensity,0.8824175027697532
compression,0.9153485155362348
combined,0.8837766234253094
