protocol,held_source,method,n_test,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,macro_auc_mean,worst_source_macro_f1_mean
internal,internal_test,CORAL,1428,0.9932330700569271,0.00019565122405219097,0.9929631709975135,0.9997775146819826,0.9877685332193996
internal,internal_test,ERM,1428,0.9896510294124877,0.0013756381235123403,0.9884469587171028,0.9997608090479112,0.9807350269264891
internal,internal_test,GroupDRO,1428,0.9902812740556265,0.0007526376219684662,0.9889039958356953,0.9997909593936763,0.9812487440327878
internal,internal_test,SourceBalanced,1428,0.9908205214198412,0.0008259574594057356,0.991009463895149,0.9996962748145005,0.9841965206835154
provenance_held_out,latent_L1,CORAL,7894,0.8805768257076894,0.00274232482406013,0.918471964946458,0.9923326495799242,0.8805768257076894
provenance_held_out,latent_L1,ERM,7894,0.8805768257076894,0.00274232482406013,0.918471964946458,0.9923326495799242,0.8805768257076894
provenance_held_out,latent_L1,GroupDRO,7894,0.8805768257076894,0.00274232482406013,0.918471964946458,0.9923326495799242,0.8805768257076894
provenance_held_out,latent_L1,SourceBalanced,7894,0.9056832368693569,0.0031517190090235517,0.9333050511815847,0.993736048438396,0.9056832368693569
provenance_held_out,latent_L2,CORAL,6387,0.8036658255792796,0.005123722725704075,0.944801528879086,0.9865392122250017,0.8036658255792796
provenance_held_out,latent_L2,ERM,6387,0.8036658255792796,0.005123722725704075,0.944801528879086,0.9865392122250017,0.8036658255792796
provenance_held_out,latent_L2,GroupDRO,6387,0.8036658255792796,0.005123722725704075,0.944801528879086,0.9865392122250017,0.8036658255792796
provenance_held_out,latent_L2,SourceBalanced,6387,0.8309962422149662,0.011309207239472074,0.949258775132663,0.9867620789589863,0.8309962422149662
